age,monthly_income,monthly_spending
23,5324,1401.98
51,2300,739.07
35,1085,258.93
30,4295,1077.23
58,2865,1302.47
40,1568,433.64
36,3857,2210.35
62,5089,2286.3
28,5883,2538.03
18,2961,875.06
41,4093,1867.98
24,1746,840.24
42,5726,1645.1
38,4135,1925.68
32,4950,794.65
18,5695,2446.48
29,5673,1509.62
24,2281,762.16
32,2701,671.1
38,4251,1829.53
36,4864,1582.7
46,854,446.03
42,2623,704.57
50,4262,1521.36
66,3879,1442.91
49,1632,855.34
66,5208,1521.67
52,3606,1686.31
61,3290,1397.18
55,1127,793.81
43,4110,1101.21
28,4100,563.86
52,4475,2088.73
25,3854,659.18
63,2943,1529.0
31,2111,626.65
27,3991,1833.31
19,3338,1089.59
63,4783,2298.07
26,5347,1147.2
20,964,97.89
38,5077,1779.66
43,5805,2153.86
25,1622,714.84
65,1743,612.05
19,5225,2578.01
23,1574,676.86
45,2998,743.67
46,3956,1591.95
43,5042,2299.54
42,4495,1176.8
29,4252,996.7
22,1714,566.82
51,2108,194.9
65,4977,1388.38
54,1313,218.22
32,2720,378.02
61,4394,846.14
53,5641,3159.26
32,2209,853.45
60,5602,1652.06
65,5366,2281.81
40,3990,1339.12
23,5291,2751.0
63,2355,1038.48
67,1604,234.44
61,5829,2035.67
60,2079,1042.8
62,5800,2982.87
38,5972,2158.83
40,4377,1890.78
60,3701,818.61
33,2187,1351.18
64,5488,1518.54
32,3561,2134.37
42,3479,1236.0
53,2906,1458.22
28,5023,1816.75
68,5631,1385.59
32,3568,805.78
21,4753,1200.92
38,3986,1104.98
30,4080,1874.78
39,3373,914.15
36,5416,1172.31
51,3399,2096.45
31,4833,2593.51
21,1036,582.81
65,2104,1056.39
69,4230,1090.68
63,2101,792.65
44,3341,1223.62
46,2851,1114.03
64,1241,-28.22
45,2876,1358.95
52,3980,1193.42
25,3457,826.88
33,4598,1975.1
59,1604,360.97
53,874,34.02
47,2975,721.54
35,4724,2397.76
19,2889,1144.78
66,840,108.86
30,2881,1560.08
21,5483,2660.85
43,2422,1076.3
42,1141,682.03
47,4852,2054.63
28,2874,734.47
24,1445,622.02
48,5626,2090.61
61,5063,1453.56
27,1409,470.76
56,1254,621.76
30,3753,1361.04
48,2508,452.52
24,4272,1002.26
66,3769,1521.25
59,3828,1087.57
59,5597,2657.38
53,3481,1139.16
37,4429,1678.7
21,5025,1328.35
24,3867,1959.87
18,2186,317.35
61,4576,1773.49
62,3666,1131.46
59,5588,1306.31
64,4163,2162.09
30,5689,2405.23
39,4924,2026.77
38,948,422.12
39,4650,2235.28
45,2858,1194.31
26,1936,616.74
43,986,602.77
26,3654,1377.62
32,2050,479.13
27,2133,822.64
41,4993,1536.33
59,4950,2468.14
25,3511,1550.78
41,5653,1110.35
33,5301,2309.17
66,2585,1032.29
43,1550,542.22
44,2562,1169.87
54,4720,1377.69
21,5260,2390.51
67,1281,524.18
41,953,296.42
36,2324,454.93
53,2920,828.0
56,3143,1355.83
27,5936,2944.89
42,2040,941.2
35,860,222.89
36,1738,693.9
53,2439,483.27
27,4920,2318.32
50,5958,1452.11
67,5026,2352.28
22,4369,1003.99
64,2052,1420.89
66,5003,1485.8
52,971,600.12
61,2258,874.97
51,4349,1126.1
50,4997,2193.72
38,3122,1143.92
34,2436,919.58
39,3915,1098.35
65,4890,2060.38
54,3804,1011.67
32,5936,2323.07
52,1129,373.03
45,4440,1788.05
24,4694,1483.9
49,4907,2252.87
28,2141,1093.69
27,4463,2399.96
26,1015,652.37
31,1138,509.42
30,4862,2206.15
42,3508,498.87
19,3952,1143.32
52,2550,528.29
24,3221,1176.9
38,1509,499.71
35,4526,1820.15
20,4442,1548.36
59,4793,1416.32
56,1288,727.27
58,846,600.11
66,4159,1485.7
28,5673,1364.24
56,5935,2794.98
41,5606,2525.73
63,1200,73.96
