size_m2,rooms,age_years,price_millions
142,1,18,354.27
132,4,15,374.86
54,5,15,222.37
146,4,2,451.01
111,5,19,370.95
60,5,23,238.21
142,3,21,369.13
161,5,23,460.83
114,4,0,372.73
127,5,23,397.61
156,3,19,434.93
139,3,10,453.29
143,4,16,426.86
191,2,7,526.13
170,2,3,475.71
189,5,5,576.27
92,1,7,236.87
41,5,19,191.08
127,4,29,351.11
197,4,2,566.55
77,4,15,247.22
169,4,29,468.93
60,4,24,235.92
97,3,2,272.09
61,2,24,173.99
128,4,28,342.21
88,1,17,212.52
98,1,13,265.73
54,1,17,135.56
90,1,1,227.63
147,3,21,391.57
94,1,2,262.79
103,4,15,308.54
170,5,28,494.65
90,1,8,236.08
174,3,3,481.63
60,3,0,242.16
112,1,3,305.91
57,5,0,212.12
171,1,13,434.7
128,3,20,346.07
99,2,15,282.29
53,4,19,177.81
48,3,23,150.68
129,1,7,341.67
92,4,6,315.79
169,1,2,422.1
123,1,16,303.28
131,2,0,360.38
150,4,15,427.2
47,4,11,210.78
74,2,26,199.87
120,3,18,319.49
89,1,21,231.07
143,5,22,462.93
171,1,21,437.79
41,1,13,84.11
173,3,29,450.44
93,1,5,265.5
145,2,5,385.88
43,2,12,139.76
93,4,18,302.52
185,5,21,523.4
83,1,7,218.21
53,1,26,72.68
134,3,26,348.43
87,2,1,252.51
54,5,20,192.28
79,4,29,267.19
121,2,0,321.05
150,4,27,416.0
92,3,14,275.16
63,3,0,239.12
193,1,4,476.16
163,5,27,492.55
80,4,28,246.55
196,2,15,497.28
54,3,18,180.33
84,1,3,229.39
104,1,2,268.6
128,4,16,381.85
110,3,16,310.02
48,5,11,208.5
127,3,27,355.03
168,4,29,488.99
175,4,28,465.33
102,3,13,331.4
178,4,20,471.72
120,3,5,351.72
175,2,2,483.92
72,3,27,211.81
162,3,8,446.06
44,4,4,182.08
80,4,23,245.0
67,1,28,145.06
174,1,16,448.54
111,2,13,307.26
51,1,20,113.11
72,3,2,251.09
87,4,27,269.71
190,1,0,507.19
101,1,19,259.14
76,2,28,183.97
138,2,20,352.6
143,3,22,402.31
74,4,0,274.16
140,2,2,387.29
170,1,17,426.36
40,4,24,170.36
44,4,9,170.33
181,1,21,455.51
142,2,25,361.97
66,1,2,179.33
176,4,7,528.08
54,5,13,231.78
129,5,23,407.1
81,3,17,261.68
163,1,14,411.02
102,1,21,260.03
135,3,22,366.45
