study_hours,attendance_percent,previous_grade,passed
3.11,56.7,2.97,1
0.09,51.44,4.43,1
7.24,87.76,2.76,1
0.73,81.02,4.04,1
2.55,85.2,4.28,1
7.6,60.65,3.79,1
7.6,56.82,3.41,1
4.59,50.73,3.24,1
5.05,67.53,3.05,1
3.59,79.5,4.79,1
2.35,69.61,4.49,1
2.63,71.87,4.9,1
5.38,95.21,2.37,1
6.02,67.41,4.19,1
6.33,75.7,4.82,1
6.32,89.18,2.54,1
0.73,69.83,2.2,0
3.96,81.1,4.22,1
0.46,93.12,3.72,1
4.4,97.48,4.53,1
3.53,57.35,2.42,1
7.1,96.33,4.39,1
2.81,74.61,2.6,1
0.94,62.91,2.49,0
1.14,72.96,2.49,1
6.09,99.0,4.44,1
4.95,74.63,4.0,1
0.81,66.44,3.57,1
0.67,81.67,3.08,1
5.61,62.01,4.63,1
0.58,53.79,3.18,1
6.57,56.44,4.45,1
5.65,56.4,3.32,1
0.65,57.6,3.13,1
0.68,56.94,3.39,1
7.89,82.04,2.9,1
2.99,59.09,4.24,1
2.97,67.28,3.51,1
6.5,94.84,2.7,1
7.58,73.7,4.7,1
7.89,83.38,3.15,1
6.03,58.62,3.63,1
3.01,59.61,4.72,1
0.67,52.04,3.87,1
6.22,58.45,2.35,1
4.47,63.93,4.82,1
3.39,58.85,3.88,1
7.25,54.44,3.0,1
0.89,56.03,2.42,0
3.94,73.04,4.38,1
0.09,60.32,3.86,1
3.75,68.21,3.6,1
0.45,75.17,4.68,1
0.95,84.52,4.37,1
0.94,51.97,2.46,0
5.19,89.97,2.94,1
5.97,81.4,2.75,1
4.67,54.09,4.23,1
7.7,93.68,2.1,1
3.0,96.04,3.71,1
2.29,53.05,4.29,1
6.95,63.84,4.63,1
1.79,90.31,3.03,1
7.71,87.41,4.46,1
0.1,59.23,2.33,0
7.76,60.47,4.54,1
0.35,68.52,2.38,0
7.13,74.23,3.19,1
4.22,80.91,4.39,1
7.94,68.45,2.45,1
0.59,73.13,2.69,0
4.43,87.37,4.17,1
7.75,51.83,4.16,1
4.18,62.62,3.92,1
5.04,85.67,4.08,1
5.57,94.76,3.63,1
3.64,75.58,2.76,1
5.02,76.61,3.04,1
4.67,55.36,2.54,1
7.21,72.37,4.73,1
0.36,76.63,3.75,1
2.25,62.12,3.2,1
7.6,63.46,3.39,1
7.12,68.86,4.84,1
3.65,51.0,2.46,1
4.96,66.1,3.76,1
2.22,60.57,3.52,1
1.5,66.37,3.83,1
3.71,55.99,2.05,1
2.83,94.53,4.62,1
4.67,79.68,4.8,1
0.62,83.96,3.7,1
7.8,89.46,4.09,1
7.89,74.92,4.77,1
5.59,54.35,4.12,1
4.29,76.86,2.46,1
2.48,79.34,3.73,1
6.51,87.27,3.82,1
5.48,71.58,3.27,1
1.3,56.38,4.21,1
7.29,64.19,4.8,1
6.58,68.15,4.78,1
7.6,82.3,3.35,1
5.81,78.54,2.34,1
4.91,67.8,4.95,1
3.35,99.33,4.52,1
7.46,80.29,2.37,1
6.93,61.86,4.76,1
0.36,55.09,4.61,1
0.21,57.64,3.56,1
3.01,62.3,3.77,1
6.48,58.03,3.2,1
7.9,59.33,2.16,1
1.2,64.25,3.01,1
4.75,58.67,4.41,1
3.05,94.84,2.01,1
7.76,54.01,3.0,1
6.74,76.23,3.19,1
6.71,70.52,3.61,1
3.75,99.12,4.76,1
3.32,55.6,3.04,1
2.19,69.89,3.04,1
0.45,98.47,4.21,1
6.92,93.28,3.36,1
6.5,90.85,2.67,1
8.0,62.9,3.36,1
7.97,58.54,2.42,1
4.44,83.43,2.53,1
6.15,96.47,3.5,1
7.56,77.84,3.26,1
6.8,78.58,4.74,1
1.98,64.0,3.09,1
3.6,88.47,3.74,1
1.03,59.35,3.9,1
7.63,66.18,2.04,1
4.85,71.27,3.99,1
1.83,75.38,2.53,1
5.37,62.12,4.88,1
4.95,55.74,2.45,1
2.87,80.53,3.24,1
0.91,64.43,2.26,0
5.37,79.06,4.99,1
4.16,57.72,3.51,1
6.18,74.06,3.79,1
4.16,76.63,2.2,1
6.82,52.59,4.25,1
4.42,66.83,2.63,1
4.49,56.72,4.69,1
7.01,53.17,2.62,1
3.23,99.5,2.57,1
